ram_type_df1,ram_type_df2,is_similar
DDR5,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR4,DDR4,1
DDR4,DDR4,1
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,DDR5,0
DDR5,LPDDR4,0
DDR3,LPDDR4,0
DDR3,DDR3,1
DDR4,DDR3,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,LPDDR4X,0
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,DDR3,1
DDR3,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,LPDDR4X,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,LPDDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,LPDDR4X,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,LPDDR4,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,LPDDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR3,LPDDR4,0
DDR3,DDR4,0
DDR4,LPDDR4,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR5,LPDDR4,0
DDR5,LPDDR4,0
DDR3,LPDDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,LPDDR4X,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR5,DDR4,0
DDR4,DDR4,0
DDR3,DDR4,0
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,LPDDR4X,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,LPDDR4X,0
DDR4,DDR4,1
DDR5,LPDDR4X,0
DDR4,LPDDR3,0
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,LPDDR3,0
DDR5,DDR4,0
DDR5,LPDDR4X,0
DDR4,LPDDR4X,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,LPDDR4X,0
DDR4,LPDDR4X,0
DDR3,LPDDR4X,0
DDR4,LPDDR4,0
DDR5,DDR4,0
DDR4,LPDDR4X,0
DDR3,LPDDR4X,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR3,LPDDR3,0
DDR3,LPDDR3,0
DDR3,LPDDR3,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR5,DDR4,0
DDR4,DDR4,1
DDR3,DDR4,0
DDR3,DDR4,0
DDR3,DDR4,0
DDR4,DDR4,1
DDR3,LPDDR4X,0
DDR4,DDR4,1
DDR4,DDR4,1
DDR3,LPDDR3,0
DDR3,LPDDR4X,0
DDR3,DDR3,1
DDR4,LPDDR4X,0
DDR5,LPDDR3,0
DDR4,LPDDR4X,0
DDR5,LPDDR4X,0
DDR5,DDR4,0
DDR3,LPDDR4X,0
DDR4,DDR4,1
DDR5,LPDDR3,0
DDR5,DDR4,0
DDR3,DDR4,0
DDR3,LPDDR4X,0
DDR3,DDR4,0
DDR3,DDR4,0
